"URI","Capacity_G","Distance_K","Id","InService","Name","NotLive","Notes","OverLand","URL1","URL2","asWKT","coordX","coordY","crs","first","firstAndLast","geometry","lineStringMember","points","precise","rest"
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_99",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((24.9375 60.170833, 25.28809189512407 60.026818907009044, 26.723173405156274 60.27680084746629, 26.94166700000011 60.46666700000014, 27.843786847696435 60.24871460471559, 28.72566791597012 60.08626282898098, 29.085555999999997 59.88972200000006), (21.906944000000124 60.19305600000007, 22.08835250738366 59.94701844977976, 22.796178101656153 59.68013338964448, 23.45758890286129 59.65692599311092, 24.699184617404683 59.83098146711234, 24.9375 60.170833000000016))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14442",,,
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_98",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((18.683333 59.283333, 19.933333 60.1, 20.056988326297084 59.943491593523206, 20.50140066488769 59.86016428003747, 21.853154861434117 59.9249744127486, 22.2 60.2, 22.242015657700897 60.026818907008945, 22.510514778932723 59.86942287042478, 22.9685 59.824444, 23.075288792558283 59.73980260500252, 24.10299232554906 59.841647099262865, 24.65850774878732 59.943491593523206, 24.9375 60.170833))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14400",,,
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_97",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((18.848033 57.434, 20.52917643604961 56.326468948883, 20.973588774640216 55.98390110455274, 21.081667 56.025278))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14391",,,
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_96",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((21.013889 56.511667, 20.90299202293701 56.458403861902084, 20.909935965727488 56.132038550749606, 21.081667 56.025278))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14382",,,
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_95",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((2.183333 41.383333, 8.01619152760782 42.750289244299125, 8.522327802113788 43.44159732655118, 8.608741312395296 44.00945753697251, 8.483333 44.3))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14371",,,
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_94",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((11.933333000000118 54.58333299999998, 15.07424200000014 54.99171100000001), (15.07424200000014 54.99171100000001, 15.583332999999925 54.18333300000006), (15.07424200000014 54.99171100000001, 14.64534224491771 55.03335249145617, 13.833333000000096 55.41666700000002))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14364",,,
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_93",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((-76.66669999999999 25.449999999999932, -76.44347689327452 25.348700913686628, -76.28313065303018 25.247429604058425, -76.13122368858814 25.12084046702347, -76.13122368858814 24.96893350258142, -76.19873789500679 24.85078364134887, -76.27469137722778 24.8170265381396, -76.33333299999998 24.83333300000004), (-77.88659305547367 26.90152766131598, -77.70936826362458 26.893088385513693, -77.53214347177556 26.876209833908945, -77.3971150589382 26.7411814210717, -77.3211615767172 26.656788663048246, -77.22000000000003 26.528472000000136, -77.13549750906583 26.43736749218766, -77.16925461227527 26.30233907935019, -77.20301171548454 26.099796460094183, -77.27052592190319 26.032282253675646, -77.39999999999998 26.016666999999927))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14331",,,
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_92",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((-80.06690436207928 26.374284649040376, -78.90774542755604 26.361414009966566, -78.696583 26.528472, -78.53641729225335 26.428928216385238, -78.18196770855532 26.445806767989904, -77.96254653769465 26.56395662922258, -77.8528359522643 26.64834938724592, -77.8528359522643 26.74118142107159, -77.94566798608997 26.749620696873926, -77.88659305547364 26.90152766131594))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14293",,,
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_91",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((-77.4 26.016667, -77.39711505893827 25.88881456503587, -77.29584374931027 25.71158977318686, -77.05954402684492 25.54280425714018, -76.82324430437956 25.441532947512172, -76.6667 25.45, -76.9076370624029 25.390897292698167, -77.15237606067059 25.26430815566316, -77.34161410438399 25.071719434672588, -77.17769388807758 25.340261637884165, -77.15237606067059 25.45841149911684, -77.28740447350793 25.576561360349515, -78.62081005027669 26.3445354583619, -78.696583 26.528472, -78.84023122113737 26.277021251943232, -79.03433456459105 26.184189218117556, -79.45629835470774 26.091357184291883, -80.1197640538908 26.021040445453636))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14256",,,
"http://localhost:9091/projetwebsemantique/cables-shp/MultiLineString_90",,,,,,,,,,,"<http://data.ign.fr/id/ignf/crs/null> MULTILINESTRING ((-80.391111 27.641944, -79.18624152903307 26.67366721465292, -78.88242760014904 26.597713732431917, -78.88242760014904 26.412049664780568, -77.21989026708926 25.416215120105164, -77.34161410438399 25.071719434672588))",,,"http://data.ign.fr/id/ignf/crs/null",,,,"node1av9h88idx14243",,,
